,Normal,Mild,Moderate,Moderately Severe,Severe,Profound,Complete
Normal,3104,230,0,0,0,0,0
Mild,0,355,79,0,0,0,0
Moderate,0,0,35,56,0,0,0
Moderately Severe,0,0,0,21,7,0,0
Severe,0,0,0,0,18,3,2
Profound,0,0,0,0,0,0,2
